date,tenor,avg_yield,num_bonds_used,bond_names_used,min_remain_years,max_remain_years
2020-01-06,2Y,-0.1353,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.955,1.988
2020-01-06,5Y,-0.1303,4,JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.956,4.956
2020-01-06,10Y,-0.0157,3,JGB WI(10)-01|JGB114(20)|JGB115(20),9.955,9.955
2020-01-06,20Y,0.28,1,JGB32(30),20.203,20.203
2020-01-06,30Y,0.41,1,JGB WI(30)-01,29.955,29.955
2020-01-06,40Y,0.435,1,JGB12(40),39.201,39.201
2020-01-07,2Y,-0.1398,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.952,1.985
2020-01-07,5Y,-0.14,4,JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.953,4.953
2020-01-07,10Y,-0.026,3,JGB WI(10)-01|JGB114(20)|JGB115(20),9.952,9.952
2020-01-07,20Y,0.272,1,JGB32(30),20.2,20.2
2020-01-07,30Y,0.4,1,JGB WI(30)-01,29.952,29.952
2020-01-07,40Y,0.425,1,JGB12(40),39.198,39.198
2020-01-08,2Y,-0.1248,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.949,1.982
2020-01-08,5Y,-0.119,4,JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.95,4.95
2020-01-08,10Y,-0.009,3,JGB114(20)|JGB115(20)|JGB357(10),9.949,9.949
2020-01-08,20Y,0.301,1,JGB32(30),20.197,20.197
2020-01-08,30Y,0.43,1,JGB WI(30)-01,29.949,29.949
2020-01-08,40Y,0.458,1,JGB12(40),39.195,39.195
2020-01-09,2Y,-0.1298,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.947,1.979
2020-01-09,5Y,-0.1238,5,JGB WI(5)-01|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.947,4.947
2020-01-09,10Y,-0.015,3,JGB114(20)|JGB115(20)|JGB357(10),9.947,9.947
2020-01-09,20Y,0.283,1,JGB32(30),20.194,20.194
2020-01-09,30Y,0.416,1,JGB WI(30)-01,29.947,29.947
2020-01-09,40Y,0.449,1,JGB12(40),39.192,39.192
2020-01-10,2Y,-0.135,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.944,1.977
2020-01-10,5Y,-0.1182,5,JGB WI(5)-01|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.945,4.945
2020-01-10,10Y,-0.0043,3,JGB114(20)|JGB115(20)|JGB357(10),9.944,9.944
2020-01-10,20Y,0.295,1,JGB32(30),20.192,20.192
2020-01-10,30Y,0.428,1,JGB65(30),29.944,29.944
2020-01-10,40Y,0.467,1,JGB12(40),39.19,39.19
2020-01-14,2Y,-0.1407,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.933,1.966
2020-01-14,5Y,-0.1134,5,JGB WI(5)-01|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.934,4.934
2020-01-14,10Y,-0.0043,3,JGB114(20)|JGB115(20)|JGB357(10),9.933,9.933
2020-01-14,20Y,0.295,1,JGB WI(20)-01,19.932,19.932
2020-01-14,30Y,0.437,1,JGB65(30),29.933,29.933
2020-01-14,40Y,0.477,1,JGB12(40),39.179,39.179
2020-01-15,2Y,-0.1307,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.93,1.963
2020-01-15,5Y,-0.0926,5,JGB WI(5)-01|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.931,4.931
2020-01-15,10Y,0.0107,3,JGB114(20)|JGB115(20)|JGB357(10),9.93,9.93
2020-01-15,20Y,0.31,1,JGB WI(20)-01,19.929,19.929
2020-01-15,30Y,0.447,1,JGB65(30),29.93,29.93
2020-01-15,40Y,0.481,1,JGB12(40),39.176,39.176
2020-01-16,2Y,-0.1265,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.927,1.96
2020-01-16,5Y,-0.097,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.928,4.928
2020-01-16,10Y,0.005,3,JGB114(20)|JGB115(20)|JGB357(10),9.927,9.927
2020-01-16,20Y,0.31,1,JGB WI(20)-01,19.926,19.926
2020-01-16,30Y,0.447,1,JGB65(30),29.927,29.927
2020-01-16,40Y,0.483,1,JGB12(40),39.173,39.173
2020-01-17,2Y,-0.131,6,JGB130(5)|JGB319(10)|JGB320(10)|JGB408(2)|JGB53(20)|JGB54(20),1.925,1.958
2020-01-17,5Y,-0.1016,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.925,4.925
2020-01-17,10Y,0.0053,3,JGB114(20)|JGB115(20)|JGB357(10),9.925,9.925
2020-01-17,20Y,0.315,1,JGB WI(20)-01,19.923,19.923
2020-01-17,30Y,0.451,1,JGB65(30),29.925,29.925
2020-01-17,40Y,0.486,1,JGB12(40),39.17,39.17
2020-01-20,2Y,-0.134,1,JGB408(2),1.949,1.949
2020-01-20,5Y,-0.1094,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.917,4.917
2020-01-20,10Y,-0.0043,3,JGB114(20)|JGB115(20)|JGB357(10),9.916,9.916
2020-01-20,20Y,0.307,1,JGB171(20),19.915,19.915
2020-01-20,30Y,0.451,1,JGB65(30),29.916,29.916
2020-01-20,40Y,0.486,1,JGB12(40),39.162,39.162
2020-01-21,2Y,-0.125,1,JGB408(2),1.947,1.947
2020-01-21,5Y,-0.1066,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.914,4.914
2020-01-21,10Y,0.011,1,JGB2(30),10.084,10.084
2020-01-21,20Y,0.319,1,JGB171(20),19.912,19.912
2020-01-21,30Y,0.465,1,JGB65(30),29.914,29.914
2020-01-21,40Y,0.5,1,JGB12(40),39.159,39.159
2020-01-22,2Y,-0.125,1,JGB408(2),1.944,1.944
2020-01-22,5Y,-0.1172,5,JGB142(5)|JGB336(10)|JGB337(10)|JGB73(20)|JGB74(20),4.912,4.912
2020-01-22,10Y,-0.004,1,JGB2(30),10.081,10.081
2020-01-22,20Y,0.29,1,JGB171(20),19.91,19.91
2020-01-22,30Y,0.437,1,JGB65(30),29.911,29.911
2020-01-22,40Y,0.4725,2,JGB WI(40)-01|JGB12(40),39.157,39.157
