stock_id,stock_name,market,asset_type,isin_status,note
00400A,主動國泰動能高息,上市,equity,active,
00401A,主動摩根台灣鑫收,上市,equity,active,
00402A,主動安聯美國科技,上市,equity,active,
00403A,主動統一升級50,上市,equity,active,
00404A,主動聯博動能50,上市,equity,active,
00405A,主動富邦台灣龍耀,上市,equity,active,
00406A,主動中信台灣收益,上市,equity,active,
00407A,主動凱基台灣,上市,equity,active,
00408A,主動第一金優股息,上市,equity,active,
00409A,主動復華全球50,上市,equity,active,
00410A,主動永豐科技趨勢,上市,equity,active,
00411A,主動統一前沿科技,上櫃,equity,active,
0050,元大台灣50,上市,equity,active,
0051,元大中型100,上市,equity,active,
0052,富邦科技,上市,equity,active,
0053,元大電子,上市,equity,active,
0055,元大MSCI金融,上市,equity,active,
0056,元大高股息,上市,equity,active,
0057,富邦摩台,上市,equity,active,
0061,元大寶滬深,上市,equity,active,
006201,元大富櫃50,上櫃,equity,active,
006203,元大MSCI台灣,上市,equity,active,
006204,永豐臺灣加權,上市,equity,active,
006205,富邦上証,上市,equity,active,
006206,元大上證50,上市,equity,active,
006207,復華滬深,上市,equity,active,
006208,富邦台50,上市,equity,active,
00625K,富邦上証+R,上市,equity,active,
00631L,元大台灣50正2,上市,equity,active,
00632R,元大台灣50反1,上市,equity,active,
00633L,富邦上証正2,上市,equity,active,
00634R,富邦上証反1,上市,equity,active,
00635U,期元大S&P黃金,上市,commodity_futures,active,
00636,國泰中國A50,上市,equity,active,
00636K,國泰中國A50+U,上市,equity,active,
00637L,元大滬深300正2,上市,equity,active,
00638R,元大滬深300反1,上市,equity,active,
00639,富邦深100,上市,equity,active,
00640L,富邦日本正2,上市,equity,active,
00641R,富邦日本反1,上市,equity,active,
00642U,期元大S&P石油,上市,commodity_futures,active,
00643,群益深証中小,上市,equity,active,
00643K,群益深証中小+R,上市,equity,active,
00645,富邦日本,上市,equity,active,
00646,元大S&P500,上市,equity,active,
00647L,元大S&P500正2,上市,equity,active,
00648R,元大S&P500反1,上市,equity,active,
00650L,復華香港正2,上市,equity,active,
00651R,復華香港反1,上市,equity,active,
00652,富邦印度,上市,equity,active,
00653L,富邦印度正2,上市,equity,active,
00654R,富邦印度反1,上市,equity,active,
00655L,國泰中國A50正2,上市,equity,active,
00656R,國泰中國A50反1,上市,equity,active,
00657,國泰日經225,上市,equity,active,
00657K,國泰日經225+U,上市,equity,active,
00660,元大歐洲50,上市,equity,active,
00661,元大日經225,上市,equity,active,
00662,富邦NASDAQ,上市,equity,active,
00663L,國泰臺灣加權正2,上市,equity,active,
00664R,國泰臺灣加權反1,上市,equity,active,
00665L,富邦恒生國企正2,上市,equity,active,
00666R,富邦恒生國企反1,上市,equity,active,
00668,國泰美國道瓊,上市,equity,active,
00668K,國泰美國道瓊+U,上市,equity,active,
