company_code,company_name,market,start_date,end_date,isin_status,note
1101,台泥,上市,1962-02-09,,active,掛牌日期來源：ISIN
1102,亞泥,上市,1962-06-08,,active,掛牌日期來源：ISIN
1103,嘉泥,上市,1969-11-14,,active,掛牌日期來源：ISIN
1104,環泥,上市,1971-02-01,,active,掛牌日期來源：ISIN
1108,幸福,上市,1990-06-06,,active,掛牌日期來源：ISIN
1109,信大,上市,1991-12-05,,active,掛牌日期來源：ISIN
1110,東泥,上市,1994-10-22,,active,掛牌日期來源：ISIN
1201,味全,上市,1962-02-09,,active,掛牌日期來源：ISIN
1203,味王,上市,1964-08-24,,active,掛牌日期來源：ISIN
1210,大成,上市,1978-05-20,,active,掛牌日期來源：ISIN
1213,大飲,上市,1981-04-10,,active,掛牌日期來源：ISIN
1215,卜蜂,上市,1987-07-27,,active,掛牌日期來源：ISIN
1216,統一,上市,1987-12-28,,active,掛牌日期來源：ISIN
1217,愛之味,上市,1989-10-28,,active,掛牌日期來源：ISIN
1218,泰山,上市,1989-11-11,,active,掛牌日期來源：ISIN
1219,福壽,上市,1990-12-01,,active,掛牌日期來源：ISIN
1220,台榮,上市,1991-11-20,,active,掛牌日期來源：ISIN
1225,福懋油,上市,1993-09-27,,active,掛牌日期來源：ISIN
1227,佳格,上市,1994-04-09,,active,掛牌日期來源：ISIN
1229,聯華,上市,1976-07-19,,active,掛牌日期來源：ISIN
1231,聯華食,上市,1995-11-02,,active,掛牌日期來源：ISIN
1232,大統益,上市,1996-02-09,,active,掛牌日期來源：ISIN
1233,天仁,上市,1999-01-20,,active,掛牌日期來源：ISIN
1234,黑松,上市,1999-03-12,,active,掛牌日期來源：ISIN
1235,興泰,上市,2000-09-11,,active,掛牌日期來源：ISIN
1236,宏亞,上市,2001-09-17,,active,櫃轉市
1240,茂生農經,興櫃,2017-07-21,2018-08-08,inactive,終止日推定：次一市場start_date
1240,茂生農經,上櫃,2018-08-08,,active,掛牌日期來源：ISIN
1256,鮮活果汁-KY,上市,2016-03-17,,active,櫃轉市
1258,F-其祥,興櫃,2011-08-29,,inactive,未取得正式終止日期
1259,安心食品服務,興櫃,2011-01-26,2011-12-15,inactive,終止日推定：次一市場start_date
1259,安心,上櫃,2011-12-15,,active,掛牌日期來源：ISIN
1260,富味鄉,興櫃,2012-11-26,,active,
1262,綠悅-KY,上市,2014-01-16,,inactive,未取得正式終止日期
1264,德麥食品,興櫃,2014-02-25,2015-04-09,inactive,終止日推定：次一市場start_date
1264,德麥,上櫃,2015-04-09,,active,掛牌日期來源：ISIN
1268,漢來美食,興櫃,2015-12-24,2017-09-27,inactive,終止日推定：次一市場start_date
1268,漢來美食,上櫃,2017-09-27,,active,掛牌日期來源：ISIN
1269,乾杯,興櫃,2016-08-29,,active,
1271,晨暉生技,興櫃,2021-01-18,,active,
1293,利統,興櫃,2021-10-29,,active,
1294,漢田生技,興櫃,2022-09-30,2024-09-26,inactive,終止日推定：次一市場start_date
1294,漢田生技,上櫃,2024-09-26,,active,
1295,生合,興櫃,2023-12-13,2025-05-27,inactive,終止日推定：次一市場start_date
1295,生合,上櫃,2025-05-27,,active,
1301,台塑,上市,1964-07-27,,active,掛牌日期來源：ISIN
1303,南亞,上市,1967-11-05,,active,掛牌日期來源：ISIN
1304,台聚,上市,1972-05-20,,active,掛牌日期來源：ISIN
1305,華夏,上市,1973-03-05,,active,掛牌日期來源：ISIN
1307,三芳,上市,1985-11-23,,active,掛牌日期來源：ISIN
1308,亞聚,上市,1986-06-20,,active,掛牌日期來源：ISIN
1309,台達化,上市,1986-06-27,,active,掛牌日期來源：ISIN
1310,台苯,上市,1987-08-06,,active,掛牌日期來源：ISIN
1312,國喬,上市,1988-12-21,,active,掛牌日期來源：ISIN
1313,聯成,上市,1989-03-27,,active,掛牌日期來源：ISIN
1314,中石化,上市,1991-07-12,,active,掛牌日期來源：ISIN
1315,達新,上市,1992-05-09,,active,掛牌日期來源：ISIN
1316,上曜,上市,1992-10-15,,active,掛牌日期來源：ISIN
1319,東陽,上市,1994-12-12,,active,掛牌日期來源：ISIN
1321,大洋,上市,1999-01-26,,active,掛牌日期來源：ISIN
1323,永裕,上市,2000-09-11,,active,掛牌日期來源：ISIN
1324,地球,上市,2000-09-11,,active,掛牌日期來源：ISIN
1325,恆大,上市,2000-09-11,,active,掛牌日期來源：ISIN
1326,台化,上市,1984-12-20,,active,掛牌日期來源：ISIN
1336,台翰,上櫃,2007-11-02,,active,掛牌日期來源：ISIN
1337,KY亞塑,興櫃,2011-07-01,2011-08-17,inactive,終止日推定：次一市場start_date
1337,再生-KY,上市,2011-08-17,,active,
1338,F-廣華,興櫃,2010-10-13,2012-12-19,inactive,終止日推定：次一市場start_date
1338,廣華-KY,上市,2012-12-19,,active,
1339,昭輝實業,興櫃,2011-04-12,2012-04-24,inactive,終止日推定：次一市場start_date
1339,昭輝,上市,2012-04-24,,active,
1340,勝悅新材料,興櫃,2013-12-06,2014-01-14,inactive,終止日推定：次一市場start_date
1340,勝悅-KY,上市,2014-01-14,,active,
1341,富林-KY,上市,2018-12-24,,active,
1342,八貫,興櫃,2019-10-07,2020-11-24,inactive,終止日推定：次一市場start_date
1342,八貫,上市,2020-11-24,,active,
1343,旭東環保,興櫃,2021-03-25,,active,
1402,遠東新,上市,1967-04-14,,active,掛牌日期來源：ISIN
1409,新纖,上市,1973-08-31,,active,掛牌日期來源：ISIN
1410,南染,上市,1973-10-18,,active,掛牌日期來源：ISIN
1413,宏洲,上市,1975-12-23,,active,掛牌日期來源：ISIN
1414,東和,上市,1976-02-02,,active,掛牌日期來源：ISIN
1416,廣豐,上市,1976-04-20,,active,掛牌日期來源：ISIN
1417,嘉裕,上市,1976-12-28,,active,掛牌日期來源：ISIN
1418,東華,上市,1977-02-14,,active,掛牌日期來源：ISIN
1419,新紡,上市,1977-03-14,,active,掛牌日期來源：ISIN
1423,利華,上市,1979-04-02,,active,掛牌日期來源：ISIN
1432,大魯閣,上市,1982-07-26,,active,掛牌日期來源：ISIN
1434,福懋,上市,1985-12-24,,active,掛牌日期來源：ISIN
1435,中福,上市,1987-12-28,,active,掛牌日期來源：ISIN
1436,華友聯,上市,1988-04-11,,active,掛牌日期來源：ISIN
1437,勤益控,上市,1988-11-10,,active,掛牌日期來源：ISIN
1438,三地開發,上市,1988-12-15,,active,掛牌日期來源：ISIN
1439,雋揚,上市,1989-05-22,,active,掛牌日期來源：ISIN
1440,南紡,上市,1989-10-03,,active,掛牌日期來源：ISIN
1441,大東,上市,1989-10-27,,active,掛牌日期來源：ISIN
1442,名軒,上市,1989-11-16,,active,掛牌日期來源：ISIN
1443,立益物流,上市,1990-04-21,,active,掛牌日期來源：ISIN
1444,力麗,上市,1990-08-08,,active,掛牌日期來源：ISIN
1445,大宇,上市,1991-02-05,,active,掛牌日期來源：ISIN
1446,宏和,上市,1991-10-15,,active,掛牌日期來源：ISIN
1447,力鵬,上市,1992-01-28,,active,掛牌日期來源：ISIN
1449,佳和,上市,1992-03-12,,active,掛牌日期來源：ISIN
1451,年興,上市,1992-12-21,,active,掛牌日期來源：ISIN
1452,宏益,上市,1992-12-28,,active,掛牌日期來源：ISIN
1453,大將,上市,1993-04-19,,active,掛牌日期來源：ISIN
1454,台富,上市,1993-05-07,,active,掛牌日期來源：ISIN
1455,集盛,上市,1993-10-07,,active,掛牌日期來源：ISIN
1456,怡華,上市,1993-12-09,,active,掛牌日期來源：ISIN
1457,宜進,上市,1994-10-20,,active,掛牌日期來源：ISIN
1459,聯發,上市,1994-10-26,,active,掛牌日期來源：ISIN
1460,宏遠,上市,1995-04-28,,active,掛牌日期來源：ISIN
1463,強盛新,上市,1996-12-05,,active,掛牌日期來源：ISIN
1464,得力,上市,1997-01-18,,active,掛牌日期來源：ISIN
1465,偉全,上市,1997-09-08,,active,掛牌日期來源：ISIN
1466,聚隆,上市,1998-04-04,,active,掛牌日期來源：ISIN
1467,南緯,上市,1998-12-21,,active,掛牌日期來源：ISIN
1468,昶和,上市,1999-01-21,,active,掛牌日期來源：ISIN
1470,大統新創,上市,1999-05-21,,active,掛牌日期來源：ISIN
1471,首利,上市,2000-03-06,,active,掛牌日期來源：ISIN
1472,三洋實業,上市,2000-09-11,,active,掛牌日期來源：ISIN
1473,台南,上市,2000-09-11,,active,掛牌日期來源：ISIN
1474,弘裕,上市,2000-10-31,,active,掛牌日期來源：ISIN
1475,業旺,上市,2000-10-27,,active,掛牌日期來源：ISIN
1476,儒鴻,上市,2001-04-18,,active,
1477,聚陽,上市,2003-01-21,,active,
1480,東盟開發,興櫃,2023-10-27,,active,
1503,士電,上市,1969-12-15,,active,掛牌日期來源：ISIN
1504,東元,上市,1973-11-05,,active,掛牌日期來源：ISIN
1506,正道,上市,1980-08-11,,active,掛牌日期來源：ISIN
1512,瑞利,上市,1994-01-28,,active,掛牌日期來源：ISIN
1513,中興電,上市,1994-03-08,,active,掛牌日期來源：ISIN
1514,亞力,上市,1994-03-26,,active,掛牌日期來源：ISIN
1515,力山,上市,1995-02-04,,active,掛牌日期來源：ISIN
1516,川飛,上市,1995-04-01,,active,掛牌日期來源：ISIN
1517,利奇,上市,1995-11-14,,active,掛牌日期來源：ISIN
1519,華城,上市,1997-04-16,,active,掛牌日期來源：ISIN
1521,大億,上市,1997-10-06,,active,掛牌日期來源：ISIN
1522,堤維西,上市,1997-10-06,,active,掛牌日期來源：ISIN
1524,耿鼎,上市,1998-10-30,,active,掛牌日期來源：ISIN
1525,江申,上市,1999-05-15,,active,掛牌日期來源：ISIN
1526,日馳,上市,2000-03-27,,active,掛牌日期來源：ISIN
1527,鑽全,上市,2000-06-21,,active,掛牌日期來源：ISIN
1528,恩德,上市,2000-09-11,,active,掛牌日期來源：ISIN
1529,樂事綠能,上市,2000-09-11,,active,掛牌日期來源：ISIN
1530,亞崴,上市,2000-09-11,,active,掛牌日期來源：ISIN
