announce_date,announce_time,company_id,company_name,subject,matched_clause,event_date,detail
2024-12-31,17:30:49,3413,京鼎,"代子公司UNIEQ INTEGRATED TECHNOLOGY CO.,LTD公告
簽訂工程合同(第二期款)",,2024-12-31,"1.契約種類:廠房工程合約
2.事實發生日:113/12/31~113/12/31
3.契約相對人及其與公司之關係:
ACTER TECHNOLOGY CO.,LTD.
4.契約主要內容（含契約總金額、預計參與投入之金額及契約起迄日期）
、限制條款及其他重要約定事項:
1.合約金額：泰銖2,280,000,000元(未稅) 
2.契約起迄日期：簽約日~114年第二季 
3.限制條款及其他重要約定事項：無
5.專業估價者事務所或公司名稱及其估價結果:
無
6.不動產估價師姓名:
無
7.不動產估價師開業證書字號:
無
8.取得之具體目的:
興建廠房，供營運所需
9.本次交易表示異議之董事意見:
不適用
10.本次交易為關係人交易:否
11.董事會通過日期:
1.民國 年 月 日 
2.不適用，請寫原因 
(以上文字請自行增刪)
12.監察人承認或審計委員會同意日期:
1.民國 年 月 日 
2.不適用，請寫原因 
(以上文字請自行增刪)
13.估價報告是否為限定價格、特定價格或特殊價格:否或不適用
14.是否尚未取得估價報告:否或不適用
15.尚未取得估價報告之原因:
不適用
16.估價結果有重大差異時，其差異原因及會計師意見:
不適用
17.會計師事務所名稱:
不適用
18.會計師姓名:
不適用
19.會計師開業證書字號:
不適用
20.其他敘明事項:
1.台幣對泰銖匯率:0.965
2.第一期款已於113.8.22公告泰銖 920,000,000元(未稅)"
2024-12-31,17:32:05,2371,大同,公告本公司財務長異動,,,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管(如:執行長、營運長、
行銷長及策略長等)、財務主管、會計主管、公司治理主管、資訊安全長、研發主管、
內部稽核主管或訴訟及非訟代理人）:財務長
2.發生變動日期:113/12/31
3.舊任者姓名、級職及簡歷:柳夜沙/大同(股)公司財務長
4.新任者姓名、級職及簡歷:無
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、「退休」、「死亡」、「新
任」或「解任」）:辭職
6.異動原因:辭職
7.生效日期:113/12/31
8.其他應敘明事項:無"
2024-12-31,17:32:17,6618,永虹先進,"公告本公司預估未來三個月現金收支情形
及銀行可使用融資額度情形",,2024-12-31,"1.事實發生日:113/12/31
2.公司名稱:永虹先進材料股份有限公司
3.與公司關係(請輸入本公司或子公司):本公司
4.相互持股比例:不適用
5.發生緣由:
櫃買中心110年6月18日證櫃審字第1100059345號函辦理
(1)    預估未來三個月現金收支情形                 (單位：仟元)
  ---------------------------------------------------------
   項目/月份	  114年01月     114年02月     114年03月
    -------------------------------------------------------
    期初餘額	   537,368       460,890       427,078
    現金流入	   -51,741             0             0
    現金流出       24,737        33,812        48,250
    期末餘額	   460,890       427,078       378,828
    --------------------------------------------------------


(2)	銀行可使用融資額度情形                     (單位：仟元)
    --------------------------------------------------------
    項目/月份	  114年01月     114年02月     114年03月
    --------------------------------------------------------
    融資額度	    16,000        16,000         16,000
    已用額度	    16,000        16,000         16,000
    額度餘額  	         0             0              0
    --------------------------------------------------------
6.因應措施:依主管機關規定公告。
7.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，
本則重大訊息同時符合證券交易法施行細則第7條第9款所定
對股東權益或證券價格有重大影響之事項):無。"
2024-12-31,17:34:14,6737,秀育,本公司背書保證之主要債務人無法償付到期之債務,,2024-12-31,"1.關係人或主要債務人或其連帶保證人名稱：:錸鑫新能源科技股份有限公司
2.事實發生日:113/12/31
3.發生緣由:錸鑫新能源科技股份有限公司(以下簡稱錸鑫新)於113年度間向上海商業
儲蓄銀行員林分行之融資借款時，本公司係考量為直接持有錸鑫新表決權之股份超
過百分之五十之公司提供背書保證，然因上海商銀收受扣押錸鑫新存款之命令，並
已寄出存證信函予錸鑫新及副本本公司，要求錸鑫新於文到五日內排除前開扣押之
情事；由於錸鑫新目前因與供應商有採購儲能櫃之商業爭議，目前尚在調解中，因
暫時停業且帳上無足夠資金得以償還，故本公司於113年12月31日召開臨時董事會
通過，擬依背書保證之約定，資金貸與錸鑫新之金額以新台幣17,000仟元為上限，
並於錸鑫新償還上海商銀借款後，本公司擬解除該借款合約之背書保證額度。
4.債權種類或背書保證金額及其所占資產比例:銀行借款金額新台幣17,000仟元，
占本公司113年第二季合併財務報告之資產總額0.48%。
5.債權有無保全措施:無。
6.預計可能損失:上限為新台幣17,000仟元整。
7.因應措施:子公司錸鑫新已暫停營業，後續將視其與供應商商議狀況及儲能櫃市場
之發展衡量是否繼續營運，且本公司將估列可能之損失。
8.其他應敘明事項 :本事件對本公司營運無重大影響。"
2024-12-31,17:34:23,7767,仁大資訊,公告本公司業務主管異動,,,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管
(如:執行長、營運長、行銷長及策略長等)、訴訟及非訴訟代理人、
財務主管、會計主管、公司治理主管、資訊安全長、研發主管
或內部稽核主管）:業務協理
2.發生變動日期:113/12/31
3.舊任者姓名、級職及簡歷:游仲淇 仁大資訊股份有限公司 業務協理
4.新任者姓名、級職及簡歷:無
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、
「退休」、「死亡」、「新任」或「解任」）:辭職
6.異動原因:職涯規劃
7.生效日期:113/12/31
8.其他應敘明事項:無。"
2024-12-31,17:35:00,7767,仁大資訊,公告本公司新任越南子公司總經理,,,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管
(如:執行長、營運長、行銷長及策略長等)、訴訟及非訴訟代理人、
財務主管、會計主管、公司治理主管、資訊安全長、研發主管
或內部稽核主管）:越南子公司總經理
2.發生變動日期:114/01/01
3.舊任者姓名、級職及簡歷:不適用
4.新任者姓名、級職及簡歷:
王念慈/世新大學 新聞系畢業
沛博科技股份有限公司 業務總監
富連網股份有限公司 業務總監
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、
「退休」、「死亡」、「新任」或「解任」）:新任
6.異動原因:因應設立越南子公司，新聘任。
7.生效日期:114/01/01
8.其他應敘明事項:無。"
2024-12-31,17:37:31,2201,裕隆,公告本公司法人董事代表人異動,,,"1.發生變動日期:113/12/31
2.法人名稱:財團法人嚴慶齡工業發展基金會
3.舊任者姓名:黃日燦
4.舊任者簡歷:裕隆汽車製造(股)公司董事
5.新任者姓名:廖建順
6.新任者簡歷:裕隆經管企業(股)公司副總經理
7.異動原因:法人董事改派代表人
8.原任期（例xx/xx/xx至xx/xx/xx）:111/07/01至114/06/30
9.新任生效日期:114/01/01
10.其他應敘明事項:無"
2024-12-31,17:37:52,2201,裕隆,"代重要子公司裕隆(中國)汽車投資有限公司公告
法人董事改派代表人暨董事變動達三分之一",,,"1.發生變動日期:113/12/31
2.選任或變動人員別（請輸入法人董事、法人監察人、獨立董事、自然人董事
  或自然人監察人）:法人董事
3.舊任者職稱及姓名:蔡文榮
4.舊任者簡歷:裕隆日產汽車(股)公司董事
5.新任者職稱及姓名:廖建順
6.新任者簡歷:裕隆經管企業(股)公司副總經理
7.異動情形（請輸入「辭職」、「解任」、「任期屆滿」、「逝世」或「新任」）:新任
8.異動原因:法人董事改派代表人
9.新任者選任時持股數:不適用
10.原任期（例xx/xx/xx ~ xx/xx/xx）:113/09/27 ~ 116/09/26
11.新任生效日期:114/01/01
12.同任期董事變動比率:1/3
13.同任期獨立董事變動比率:不適用
14.同任期監察人變動比率:0
15.屬三分之一以上董事發生變動（請輸入是或否）:是
16.其他應敘明事項(若事件發生或決議之主體係屬公開發行以上公司，本則重大訊息同時
   符合證券交易法施行細則第7條第6款所定對股東權益或證券價格有重大影響之事項):無"
2024-12-31,17:38:31,2348,海悅,公告本公司處分有價證券,,,"1.證券名稱:
新應材股份有限公司
2.交易日期:113/2/15~113/12/31
3.交易數量、每單位價格及交易總金額:
交易數量：494仟股
每單位價格：平均每股631.05元
交易總金額：311,738,466元
4.處分利益（或損失）（取得有價證券者不適用）:
新台幣161,556,770元
5.與交易標的公司之關係:
無
6.迄目前為止，累積持有本交易證券（含本次交易）之數量、金額、持股
比例及權利受限情形（如質押情形）:
累積數量:872,012股
累積金額: 586,461,292元
持股比例：1.06%
權利受限情形：無
7.迄目前為止，依「公開發行公司取得或處分資產處理準則」第三條所列之有價證券投
資（含本次交易）占公司最近期財務報表中總資產及歸屬於母公司業主之權益之比例
暨最近期財務報表中營運資金數額:
占總資產比例:2.08%
占母公司業主之權益比例:6.99%
營運資金:新台幣11,077,034仟元
8.取得或處分之具體目的:
充實營運資金
9.本次交易表示異議董事之意見:
不適用
10.本次交易為關係人交易:
否
11.交易相對人及其與公司之關係:
無
12.董事會通過日期:
不適用
13.監察人承認或審計委員會同意日期:
不適用
14.其他敘明事項:
無"
2024-12-31,17:38:40,3713,新晶投控,公告本公司營運長異動,,,"1.人員變動別（請輸入發言人、代理發言人、重要營運主管
(如:執行長、營運長、行銷長及策略長等)、財務主管、會計
主管、公司治理主管、資訊安全長、研發主管、內部稽核主管或訴訟及非
訟代理人）:營運長
2.發生變動日期:113/12/31
3.舊任者姓名、級職及簡歷:陳清海、建興電子資深副總暨幕僚長
4.新任者姓名、級職及簡歷:無
5.異動情形（請輸入「辭職」、「職務調整」、「資遣」、
「退休」、「死亡」、「新任」或「解任」）:職務調整
6.異動原因:職務調整為顧問
7.生效日期:114/01/01
8.其他應敘明事項:無。"
