market,year,month,company_id,company_name,revenue_current,revenue_previous_month,revenue_same_month_last_year,revenue_mom_change_pct,revenue_yoy_change_pct,revenue_ytd_last_year,revenue_ytd_change_pct,note
twse,2020,1,1101,台泥,7502141,12349908,9394240,-39.25,-20.14,9394240,-20.14,-
twse,2020,2,1101,台泥,5000692,7502141,5085162,-33.34,-1.66,14479402,-13.65,-
twse,2020,3,1101,台泥,9473250,5000692,10876929,89.43,-12.9,25356331,-13.33,-
twse,2020,4,1101,台泥,10216799,9473250,10596314,7.84,-3.58,35952645,-10.45,-
twse,2020,5,1101,台泥,10285516,10216799,10903967,0.67,-5.67,46856612,-9.34,-
twse,2020,6,1101,台泥,9961312,10285516,9866871,-3.15,0.95,56723483,-7.55,-
twse,2020,7,1101,台泥,10178622,9961312,10489337,2.18,-2.96,67212820,-6.83,-
twse,2020,8,1101,台泥,9885013,10178622,10228796,-2.88,-3.36,77441616,-6.37,-
twse,2020,9,1101,台泥,9745147,9885013,10120251,-1.41,-3.7,87561867,-6.06,-
twse,2020,10,1101,台泥,10293900,9745147,11211942,5.63,-8.18,98773809,-6.3,-
twse,2020,11,1101,台泥,10889658,10293900,11678701,5.78,-6.75,110452510,-6.35,-
twse,2020,12,1101,台泥,10933035,10889658,12330504,0.39,-11.33,122783014,-6.85,-
twse,2021,1,1101,台泥,8596261,10933035,7502141,-21.37,14.58,7502141,14.58,-
twse,2021,2,1101,台泥,4536849,8596261,5000692,-47.22,-9.27,12502833,5.04,-
twse,2021,3,1101,台泥,9779716,4536849,8672879,115.56,12.76,19800812,11.29,"以上營收不包含停業部門營收:110年3月1,367,351仟元暨109年3月800,488仟元；110年1~3月2,242,525仟元暨109年1~3月2,175,388仟元"
twse,2021,4,1101,台泥,9672128,9779716,9838855,-1.1,-1.69,29639667,6.98,"以上營收不包含停業部門營收:110年4月1,293,852仟元暨109年4月377,827仟元;110年1-4月3,536,377仟元暨109年1-4月2,553,215仟元"
twse,2021,5,1101,台泥,9832764,9672128,9872865,1.66,-0.4,39512532,5.13,"以上營收不包含停業部門營收:110年5月1,452,352仟元暨109年5月412,651仟元;110年1-5月4,988,729仟元暨109年1-5月2,965,866仟元"
twse,2021,6,1101,台泥,8480821,9832764,9288320,-13.74,-8.69,48800852,2.5,"以上營收不包含停業部門營收:110年6月1,162,600仟元暨109年6月672,992仟元;110年1-6月6,151,329仟元暨109年1-6月3,638,858仟元"
twse,2021,7,1101,台泥,8319971,8480821,9391351,-1.89,-11.4,58192203,0.25,"以上營收不包含停業部門營收:110年7月1,366,138仟元暨109年7月787,270仟元;110年1-7月7,517,467仟元暨109年1-7月4,426,128仟元"
twse,2021,8,1101,台泥,8964476,8319971,9206588,7.74,-2.62,67398791,-0.13,"以上營收不包含停業部門營收:110年8月595,903仟元暨109年8月678,426仟元;110年1-8月8,113,370仟元暨109年1-8月5,104,554仟元"
twse,2021,9,1101,台泥,9597804,8964476,9034955,7.06,6.22,76433746,0.61,"以上營收不包含停業部門營收:110年9月 0 仟元暨109年9月710,192仟元；110年1-9月8,113,370仟元暨109年1-9月5,814,746仟元"
twse,2021,10,1101,台泥,9565047,9597804,9466748,-0.34,1.03,85900494,0.66,"以上營收不包含停業部門營收:110年10月 0 仟元暨109年10月827,152仟元；110年1-10月8,113,370仟元暨109年1-10月6,641,898仟元"
twse,2021,11,1101,台泥,9752687,9565047,9904802,1.96,-1.53,95805296,0.43,"以上營收不包含停業部門營收:110年11月 0 仟元暨109年11月984,856仟元；110年1-11月8,113,370仟元暨109年1-11月7,626,754仟元"
twse,2021,12,1101,台泥,10821264,9752687,10106165,10.95,7.07,105911461,1.06,"以上營收不包含停業部門營收:110年12月 0 仟元暨109年12月826,870仟元；110年1-12月8,113,370仟元暨109年1-12月8,453,624仟元"
twse,2022,1,1101,台泥,7517896,10821264,8084465,-30.52,-7.0,8084465,-7.0,"以上營收不包含停業部門營收:111年1月 0 仟元暨110年1月511,796仟元；111年1-1月 0 仟元暨110年1-1月511,796仟元"
twse,2022,2,1101,台泥,5456068,7517896,4173471,-27.42,30.73,12257936,5.84,"以上營收不包含停業部門營收:111年2月 0 仟元暨110年2月363,378仟元；111年1-2月 0 仟元暨110年1-2月875,174仟元"
twse,2022,3,1101,台泥,9971650,5456068,9779716,82.76,1.96,22037652,4.12,"以上營收不包含停業部門營收:111年3月 0 仟元暨110年3月1,367,351仟元；111年1-3月 0 仟元暨110年1-3月2,242,525仟元"
twse,2022,4,1101,台泥,8319342,9971650,9672128,-16.57,-13.98,31709780,-1.4,"以上營收不包含停業部門營收:111年4月 0 仟元暨110年4月1,293,852仟元；111年1-4月 0 仟元暨110年1-4月3,536,377仟元"
twse,2022,5,1101,台泥,7733787,8319342,9832764,-7.03,-21.34,41542544,-6.12,"以上營收不包含停業部門營收:111年5月 0 仟元暨110年5月1,452,352仟元；111年1-5月 0 仟元暨110年1-5月4,988,729仟元"
twse,2022,6,1101,台泥,9145989,7733787,8480821,18.26,7.84,50023365,-3.75,"以上營收不包含停業部門營收:111年6月 0 仟元暨110年6月1,162,600仟元；111年1-6月 0 仟元暨110年1-6月6,151,329仟元"
twse,2022,7,1101,台泥,10102468,9145989,8319971,10.45,21.42,58343336,-0.16,"以上營收不包含停業部門營收:111年7月 0 仟元暨110年7月1,366,138仟元；111年1-7月 0 仟元暨110年1-7月7,517,467仟元"
twse,2022,8,1101,台泥,10689860,10102468,8964476,5.81,19.24,67307812,2.42,"以上營收不包含停業部門營收:111年8月 0 仟元暨110年8月595,903仟元；111年1-8月 0 仟元暨110年1-8月8,113,370仟元"
twse,2022,9,1101,台泥,10404901,10689860,9597804,-2.66,8.4,76905616,3.16,"以上營收不包含停業部門營收:111年9月 0 仟元暨110年9月 0 仟元；111年1-9月 0 仟元暨110年1-9月8,113,370仟元"
twse,2022,10,1101,台泥,11368096,10404901,9565047,9.25,18.85,86470663,4.9,"以上營收不包含停業部門營收:111年10月 0 仟元暨110年10月 0 仟元；111年1-10月 0 仟元暨110年1-10月8,113,370仟元"
twse,2022,11,1101,台泥,9674576,11368096,9752687,-14.89,-0.8,96223350,4.32,"以上營收不包含停業部門營收:111年11月 0 仟元暨110年11月 0 仟元；111年1-11月 0 仟元暨110年1-11月8,113,370仟元"
twse,2022,12,1101,台泥,12584154,9674576,10821264,30.07,16.29,107044614,5.53,"以上營收不包含停業部門營收:111年12月 0 仟元暨110年12月 0 仟元；111年1-12月 0 仟元暨110年1-12月8,113,370仟元"
twse,2023,1,1101,台泥,7325221,12584154,7517896,-41.79,-2.56,7517896,-2.56,-
twse,2023,2,1101,台泥,7306069,7325221,5456068,-0.26,33.9,12973964,12.77,-
twse,2023,3,1101,台泥,11730367,7306069,9971650,60.55,17.63,22945614,14.88,-
twse,2023,4,1101,台泥,9100119,11730367,8319342,-22.42,9.38,31264956,13.42,-
twse,2023,5,1101,台泥,9596091,9100119,7733787,5.45,24.08,38998743,15.53,-
twse,2023,6,1101,台泥,8816109,9596091,9145989,-8.12,-3.6,48144732,11.9,-
twse,2023,7,1101,台泥,8953462,8816109,10102468,1.55,-11.37,58247200,7.86,-
twse,2023,8,1101,台泥,9379408,8953462,10689860,4.75,-12.25,68937060,4.74,-
twse,2023,9,1101,台泥,8735157,9379408,10404901,-6.86,-16.04,79341961,2.01,-
twse,2023,10,1101,台泥,9371746,8735157,11368096,7.28,-17.56,90710057,-0.43,-
twse,2023,11,1101,台泥,8786909,9371746,9674576,-6.24,-9.17,100384633,-1.27,-
twse,2023,12,1101,台泥,9514039,8786909,12584154,8.27,-24.39,112968787,-3.85,台泥12月合併營收較去年同期減少24.4%，主要是合併個體 和平電力依約進行一號機組之例行性歲修，致發電量減少所致。
twse,2024,1,1101,台泥,7237930,9514039,7325221,-23.92,-1.19,7325221,-1.19,-
twse,2024,2,1101,台泥,4798581,7237930,7306069,-33.7,-34.32,14631290,-17.73,-
twse,2024,3,1101,台泥,13649152,4798581,11730367,184.44,16.35,26361657,-2.56,-
twse,2024,4,1101,台泥,11626493,13649152,9100119,-14.81,27.76,35461776,5.21,-
twse,2024,5,1101,台泥,13860276,11626493,9596091,19.21,44.43,45057867,13.57,-
twse,2024,6,1101,台泥,13659543,13860276,8816109,-1.44,54.93,53873976,20.34,2024/3/6起併入OYAK及Cimpor營收增加所致。
twse,2024,7,1101,台泥,14429687,13659543,8953462,5.63,61.16,62827438,26.15,2024/3/6起併入OYAK及Cimpor，以致本月營收較去年同期增加54.7億元。
twse,2024,8,1101,台泥,13004435,14429687,9379408,-9.87,38.64,72206846,27.78,-
twse,2024,9,1101,台泥,13325249,13004435,8735157,2.46,52.54,80942003,30.45,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
twse,2024,10,1101,台泥,16272067,13325249,9371746,22.11,73.62,90313749,34.93,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
twse,2024,11,1101,台泥,16502520,16272067,8786909,1.41,87.8,99100658,39.62,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
twse,2024,12,1101,台泥,16543379,16502520,9514039,0.24,73.88,108614697,42.62,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
twse,2025,1,1101,台泥,12213350,16543379,7237930,-26.17,68.74,7237930,68.74,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
twse,2025,2,1101,台泥,9123490,12213350,4798581,-25.29,90.12,12036511,77.26,2024/3/6起併入OYAK及Cimpor，以致營收較去年同期增加。
twse,2025,3,1101,台泥,13635386,9123490,13649152,49.45,-0.1,25685663,36.15,-
twse,2025,4,1101,台泥,12681318,13635386,11626493,-6.99,9.07,37312156,27.71,-
twse,2025,5,1101,台泥,12619495,12681318,13860276,-0.48,-8.95,51172432,17.78,-
twse,2025,6,1101,台泥,10107877,12619495,13659543,-19.9,-26.0,64831975,8.55,-
twse,2025,7,1101,台泥,13535929,10107877,14429687,33.91,-6.19,79261662,5.87,-
twse,2025,8,1101,台泥,12214776,13535929,13004435,-9.76,-6.07,92266097,4.18,-
twse,2025,9,1101,台泥,13306676,12214776,13325249,8.93,-0.13,105591346,3.64,-
twse,2025,10,1101,台泥,13882248,13306676,16272067,4.32,-14.68,121863413,1.19,-
twse,2025,11,1101,台泥,13121753,13882248,16502520,-5.47,-20.48,138365933,-1.39,-
twse,2025,12,1101,台泥,14219975,13121753,16543379,8.36,-14.04,154909312,-2.74,-
twse,2026,1,1101,台泥,12252892,14219975,12213350,-13.83,0.32,12213350,0.32,-
twse,2026,2,1101,台泥,8593689,12252892,9123490,-29.86,-5.8,21336840,-2.29,-
twse,2026,3,1101,台泥,12412837,8593689,13635386,44.44,-8.96,34972226,-4.89,-
twse,2026,4,1101,台泥,12213195,12412837,12681318,-1.6,-3.69,47653544,-4.57,-
twse,2026,5,1101,台泥,12612013,12213195,12619495,3.26,-0.05,60273039,-3.63,-
twse,2026,6,1101,台泥,13382706,12612013,10107877,6.11,32.39,70380916,1.54,-
twse,2026,7,1101,台泥,13744103,13382706,13535929,2.7,1.53,83916845,1.54,-
