stock_id,date,trade_volume_shares,trade_value,high,low,average_price,transactions
1260,2024-01-02,37600.0,1075039.0,29.8,27.65,28.59,25.0
1260,2024-01-03,1094.0,30808.0,28.6,27.8,28.16,5.0
1260,2024-01-04,71175.0,2010170.0,28.4,28.1,28.24,23.0
1260,2024-01-05,84001.0,2366078.0,28.35,28.1,28.17,26.0
1260,2024-01-08,40211.0,1142595.0,28.65,28.1,28.41,21.0
1260,2024-01-09,14363.0,410564.0,28.75,28.4,28.58,13.0
1260,2024-01-10,4057.0,115176.0,28.8,28.2,28.39,4.0
1260,2024-01-11,23003.0,654385.0,28.7,28.2,28.45,13.0
1260,2024-01-12,22007.0,613847.0,28.4,27.8,27.89,11.0
1260,2024-01-15,690.0,19871.0,28.85,28.75,28.8,3.0
1260,2024-01-16,70001.0,1946077.0,28.45,27.5,27.8,33.0
1260,2024-01-17,238826.0,6396697.0,28.35,25.8,26.78,124.0
1260,2024-01-18,10038.0,270982.0,27.25,26.75,27.0,9.0
1260,2024-01-19,3303.0,88715.0,26.95,26.85,26.86,4.0
1260,2024-01-22,7107.0,192842.0,27.3,26.05,27.13,7.0
1260,2024-01-23,14256.0,388768.0,27.4,26.55,27.27,13.0
1260,2024-01-24,13065.0,357171.0,27.55,27.2,27.34,9.0
1260,2024-01-25,12003.0,327881.0,27.65,27.2,27.32,7.0
1260,2024-01-26,2052.0,56772.0,27.7,26.6,27.67,8.0
1260,2024-01-29,19000.0,527400.0,27.85,27.7,27.76,13.0
1260,2024-01-30,28830.0,792534.0,27.95,26.65,27.49,17.0
1260,2024-01-31,2061.0,56900.0,27.9,27.25,27.61,5.0
1260,2024-02-01,14000.0,383350.0,27.65,27.25,27.38,6.0
1260,2024-02-02,8003.0,218683.0,27.75,27.25,27.33,5.0
1260,2024-02-05,25074.0,680386.0,27.9,26.9,27.14,19.0
1260,2024-02-15,46992.0,1308486.0,28.0,27.5,27.84,36.0
1260,2024-02-16,31253.0,871986.0,28.05,27.8,27.9,21.0
1260,2024-02-19,17658.0,493341.0,28.05,27.7,27.94,17.0
1260,2024-02-20,6000.0,168550.0,28.2,28.05,28.09,5.0
1260,2024-02-21,8406.0,236739.0,28.35,27.95,28.16,10.0
1260,2024-02-22,39267.0,1104102.0,28.45,27.9,28.12,25.0
1260,2024-02-23,30007.0,838347.0,28.25,27.65,27.94,18.0
1260,2024-02-26,26519.0,750339.0,28.55,28.0,28.29,17.0
1260,2024-02-27,18077.0,506306.0,28.45,27.6,28.01,12.0
1260,2024-02-29,9936.0,275785.0,28.0,27.65,27.76,14.0
1260,2024-03-01,8100.0,223534.0,27.9,27.5,27.6,10.0
1260,2024-03-04,37069.0,1025612.0,27.9,27.4,27.67,19.0
1260,2024-03-05,9337.0,257906.0,27.7,27.4,27.62,9.0
1260,2024-03-06,184051.0,4958919.0,28.05,26.5,26.94,77.0
1260,2024-03-07,4514.0,125173.0,27.95,27.05,27.73,7.0
1260,2024-03-08,144009.0,3889244.0,27.7,26.5,27.01,54.0
1260,2024-03-11,27215.0,733101.0,27.55,26.45,26.94,17.0
1260,2024-03-12,157303.0,4185850.0,26.9,26.35,26.61,71.0
1260,2024-03-13,91003.0,2461032.0,27.35,26.8,27.04,34.0
1260,2024-03-14,84409.0,2235083.0,27.35,26.2,26.48,38.0
1260,2024-03-15,21040.0,569966.0,27.2,26.65,27.09,9.0
1260,2024-03-18,36001.0,971927.0,27.1,26.8,27.0,16.0
1260,2024-03-19,49058.0,1325771.0,27.1,26.9,27.02,20.0
1260,2024-03-20,3001.0,80727.0,27.1,26.9,26.9,2.0
1260,2024-03-21,21387.0,580867.0,27.5,26.85,27.16,9.0
1260,2024-03-22,56558.0,1528148.0,27.3,26.75,27.02,26.0
1260,2024-03-25,27000.0,730200.0,27.1,27.0,27.04,13.0
1260,2024-03-26,17002.0,454204.0,27.1,26.6,26.71,11.0
1260,2024-03-27,50000.0,1350800.0,27.1,26.9,27.02,21.0
1260,2024-03-28,45102.0,1196173.0,26.8,26.4,26.52,23.0
1260,2024-03-29,14201.0,382391.0,27.1,26.75,26.93,13.0
1260,2024-04-01,34336.0,914928.0,27.1,26.4,26.65,17.0
1260,2024-04-02,58.0,1571.0,27.1,27.1,27.1,1.0
1260,2024-04-03,17105.0,461194.0,27.45,26.7,26.96,14.0
1260,2024-04-08,44667.0,1201019.0,27.3,26.45,26.89,27.0
1260,2024-04-09,31233.0,837520.0,27.0,26.7,26.82,18.0
1260,2024-04-10,170374.0,4496011.0,26.95,25.9,26.39,98.0
1260,2024-04-11,88628.0,2303552.0,26.6,25.7,25.99,58.0
1260,2024-04-12,37936.0,990642.0,26.6,25.9,26.11,22.0
1260,2024-04-15,13100.0,341150.0,26.2,25.9,26.04,9.0
1260,2024-04-16,45600.0,1172930.0,26.2,25.55,25.72,27.0
1260,2024-04-17,55200.0,1431040.0,26.0,25.55,25.92,33.0
1260,2024-04-18,36409.0,948356.0,26.1,26.0,26.05,16.0
1260,2024-04-19,84705.0,2263772.0,27.1,26.0,26.73,40.0
1260,2024-04-22,53281.0,1434614.0,27.05,26.8,26.93,23.0
1260,2024-04-23,14000.0,377850.0,27.05,26.95,26.99,5.0
1260,2024-04-24,84184.0,2261199.0,27.1,26.4,26.86,48.0
1260,2024-04-25,27000.0,727750.0,27.05,26.85,26.95,12.0
1260,2024-04-26,34000.0,917850.0,27.1,26.9,27.0,19.0
1260,2024-04-29,40010.0,1077870.0,27.1,26.7,26.94,20.0
1260,2024-04-30,23068.0,620636.0,27.0,26.8,26.9,19.0
1260,2024-05-02,43202.0,1166717.0,27.15,26.8,27.01,27.0
1260,2024-05-03,67398.0,1819554.0,27.2,26.9,27.0,37.0
1260,2024-05-06,64581.0,1736275.0,27.3,26.8,26.89,25.0
1260,2024-05-07,25064.0,678387.0,27.15,27.0,27.07,10.0
1260,2024-05-08,31000.0,841650.0,27.2,27.1,27.15,15.0
1260,2024-05-09,43131.0,1170853.0,27.2,27.05,27.15,16.0
1260,2024-05-10,32064.0,867684.0,27.2,26.95,27.06,14.0
