stock_code,company_name,delisting_date,delisting_reason
5371,中強光電股份有限公司,2026-09-03,被合併或參與股份轉換而終止上櫃之公司
4130,健亞生物科技股份有限公司,2026-07-28,被合併或參與股份轉換而終止上櫃之公司
5236,凌陽創新科技股份有限公司,2026-07-16,轉上市而終止上櫃之公司
3426,台興電子企業股份有限公司,2026-06-08,被合併或參與股份轉換而終止上櫃之公司
4987,科誠股份有限公司,2026-05-29,被合併或參與股份轉換而終止上櫃之公司
6747,亨泰光學股份有限公司,2025-12-04,被合併或參與股份轉換而終止上櫃之公司
4945,陞達科技股份有限公司,2025-09-08,被合併或參與股份轉換而終止上櫃之公司
6589,台康生技股份有限公司,2025-07-21,轉上市而終止上櫃之公司
3202,樺晟電子股份有限公司,2025-07-21,因其他原因終止上櫃者
6287,元隆電子股份有限公司,2025-06-23,因其他原因終止上櫃者
6457,紘康科技股份有限公司,2025-01-01,被合併或參與股份轉換而終止上櫃之公司
8420,明揚國際科技股份有限公司,2024-11-29,被合併或參與股份轉換而終止上櫃之公司
6514,芮特科技股份有限公司,2024-10-18,被合併或參與股份轉換而終止上櫃之公司
4712,福格創新股份有限公司,2024-09-25,因其他原因終止上櫃者
6404,中國通訊多媒體集團有限公司,2024-07-02,因其他原因終止上櫃者
5383,金利精密工業股份有限公司,2024-05-31,被合併或參與股份轉換而終止上櫃之公司
3089,億杰科技股份有限公司,2024-03-04,因其他原因終止上櫃者
8418,捷必勝控股股份有限公司,2024-01-31,被合併或參與股份轉換而終止上櫃之公司
6446,藥華醫藥股份有限公司,2024-01-25,轉上市而終止上櫃之公司
4736,泰博科技股份有限公司,2023-12-22,轉上市而終止上櫃之公司
6472,保瑞藥業股份有限公司,2023-12-19,轉上市而終止上櫃之公司
4944,兆遠科技股份有限公司,2023-11-01,被合併或參與股份轉換而終止上櫃之公司
8476,台境企業股份有限公司,2023-10-31,轉上市而終止上櫃之公司
5281,大峽谷半導體照明系統(開曼)股份有限公司,2023-10-31,被合併或參與股份轉換而終止上櫃之公司
3642,駿熠電子科技股份有限公司,2023-06-27,因其他原因終止上櫃者
1258,其祥生物科技控股有限公司,2023-06-09,被合併或參與股份轉換而終止上櫃之公司
6594,展匯科技股份有限公司,2023-04-01,被合併或參與股份轉換而終止上櫃之公司
6247,淇譽電子科技股份有限公司,2023-02-10,被合併或參與股份轉換而終止上櫃之公司
5820,日盛金融控股股份有限公司,2022-11-11,被合併或參與股份轉換而終止上櫃之公司
3652,精聯電子股份有限公司,2022-09-21,轉上市而終止上櫃之公司
5102,富強輪胎工廠股份有限公司,2022-07-15,被合併或參與股份轉換而終止上櫃之公司
4429,聚紡股份有限公司,2022-05-31,被合併或參與股份轉換而終止上櫃之公司
8406,金可國際股份有限公司,2022-04-29,被合併或參與股份轉換而終止上櫃之公司
5306,桂盟國際股份有限公司,2022-03-08,轉上市而終止上櫃之公司
1752,南光化學製藥股份有限公司,2022-01-19,轉上市而終止上櫃之公司
4803,威馳克媒體集團股份有限公司,2021-12-27,因其他原因終止上櫃者
3144,新揚科技股份有限公司,2021-12-20,被合併或參與股份轉換而終止上櫃之公司
2928,紅馬集團股份有限公司,2021-10-22,被合併或參與股份轉換而終止上櫃之公司
4152,台灣微脂體股份有限公司,2021-10-08,被合併或參與股份轉換而終止上櫃之公司
911613,特藝石油能源有限公司,2021-09-03,因其他原因終止上櫃者
3092,鴻碩精密電工股份有限公司,2021-05-13,轉上市而終止上櫃之公司
6426,統新光訊股份有限公司,2021-03-24,轉上市而終止上櫃之公司
6438,迅得機械股份有限公司,2021-01-19,轉上市而終止上櫃之公司
