market,date,code,name,closing_price,pe_ratio,dividend_yield,dividend_year,pb_ratio,financial_report_period,trading_status
TPEx,2026-09-15,1240,茂生農經,55.2,10.26,0.91,114.0,1.63,115Q2,traded
TPEx,2026-09-15,1259,安心,,18.36,1.85,114.0,0.75,115Q2,no_trade
TPEx,2026-09-15,1264,德麥,243.0,11.46,6.17,114.0,2.54,115Q2,traded
TPEx,2026-09-15,1268,漢來美食,172.0,13.05,4.65,114.0,3.02,115Q2,traded
TPEx,2026-09-15,1294,漢田生技,50.7,10.39,9.86,114.0,1.87,115Q2,traded
TPEx,2026-09-15,1295,生合,44.85,10.89,6.69,114.0,1.18,115Q2,traded
TPEx,2026-09-15,1336,台翰,16.1,21.47,1.61,114.0,0.66,115Q2,traded
TPEx,2026-09-15,1565,精華,96.4,12.0,6.02,114.0,0.76,115Q2,traded
TPEx,2026-09-15,1569,濱川,49.4,,0.0,114.0,2.4,115Q2,traded
TPEx,2026-09-15,1570,力肯,32.45,47.03,3.08,114.0,1.61,115Q2,traded
TPEx,2026-09-15,1580,新麥,96.0,8.37,8.85,114.0,1.52,115Q2,traded
TPEx,2026-09-15,1584,精剛,18.0,31.03,1.44,114.0,0.87,115Q2,traded
TPEx,2026-09-15,1586,和勤,18.0,48.65,0.0,114.0,0.91,115Q2,traded
TPEx,2026-09-15,1591,駿吉-KY,39.0,,0.0,114.0,3.31,115Q2,traded
TPEx,2026-09-15,1593,祺驊,31.4,7.99,6.37,114.0,0.91,115Q2,traded
TPEx,2026-09-15,1595,川寶,61.7,,0.76,114.0,1.27,115Q2,traded
TPEx,2026-09-15,1599,宏佳騰,23.45,,2.13,114.0,0.91,115Q2,traded
TPEx,2026-09-15,1742,台蠟,17.6,,0.0,114.0,1.28,115Q2,traded
TPEx,2026-09-15,1777,生泰,73.4,9.88,5.45,114.0,1.27,115Q2,traded
TPEx,2026-09-15,1780,立弘,24.8,14.94,5.04,114.0,1.78,115Q2,traded
TPEx,2026-09-15,1781,合世,10.2,,0.0,114.0,1.59,115Q2,traded
TPEx,2026-09-15,1784,訊聯,58.5,54.17,1.51,114.0,2.38,115Q2,traded
TPEx,2026-09-15,1785,光洋科,93.8,14.02,2.13,114.0,3.45,115Q2,traded
TPEx,2026-09-15,1788,杏昌,128.5,14.6,5.45,114.0,1.94,115Q2,traded
TPEx,2026-09-15,1796,金穎生技,29.2,71.22,2.4,114.0,1.54,115Q2,traded
TPEx,2026-09-15,1799,易威,28.85,,0.0,114.0,5.07,115Q2,traded
TPEx,2026-09-15,1813,寶利徠,11.25,48.91,0.0,114.0,0.76,115Q2,traded
TPEx,2026-09-15,1815,富喬,114.5,33.19,0.87,114.0,4.89,115Q2,traded
TPEx,2026-09-15,2035,唐榮,26.9,,0.0,114.0,3.82,115Q2,traded
TPEx,2026-09-15,2061,風青,47.2,41.77,0.0,114.0,3.99,115Q2,traded
TPEx,2026-09-15,2063,世鎧,23.65,12.92,6.34,114.0,1.18,115Q2,traded
TPEx,2026-09-15,2064,晉椿,12.15,607.5,0.0,114.0,0.91,115Q2,traded
TPEx,2026-09-15,2065,世豐,35.05,9.2,4.28,114.0,1.23,115Q2,traded
TPEx,2026-09-15,2066,世德,50.7,13.89,4.24,114.0,1.04,115Q2,traded
TPEx,2026-09-15,2067,嘉鋼,4.88,,0.0,114.0,1.15,115Q2,traded
TPEx,2026-09-15,2070,精湛,60.1,21.85,2.5,114.0,2.12,115Q2,traded
TPEx,2026-09-15,2073,雄順,25.7,,1.17,114.0,1.79,115Q2,traded
TPEx,2026-09-15,2221,大甲,96.1,31.72,1.56,114.0,3.75,115Q2,traded
TPEx,2026-09-15,2230,泰茂,21.1,,2.89,114.0,1.33,115Q2,traded
TPEx,2026-09-15,2235,謚源,28.05,20.63,5.35,114.0,0.84,115Q2,traded
TPEx,2026-09-15,2596,綠意,36.35,13.32,4.13,114.0,1.69,115Q2,traded
TPEx,2026-09-15,2640,大車隊,156.0,16.39,5.13,114.0,4.62,115Q2,traded
TPEx,2026-09-15,2641,正德,17.25,7.47,2.9,114.0,0.68,115Q2,traded
TPEx,2026-09-15,2643,捷迅,62.8,8.75,7.17,114.0,1.12,115Q2,traded
