market,date,rank,code,name,trade_value,trade_volume_shares,closing_price,change,transactions
TPEx,2025-01-02,1,4979,華星光,7824366000.0,40390000.0,191.0,3.0,25689.0
TPEx,2025-01-02,2,3211,順達,5175023000.0,24141000.0,213.0,3.0,15558.0
TPEx,2025-01-02,3,8234,新漢,2677383500.0,40983000.0,65.2,0.9,23688.0
TPEx,2025-01-02,4,6188,廣明,2566487500.0,23213000.0,108.0,-3.5,13400.0
TPEx,2025-01-02,5,6223,旺矽,2545626000.0,2859000.0,878.0,-48.0,2522.0
TPEx,2025-01-02,6,4931,新盛力,2535362400.0,35578000.0,69.1,-2.6,20833.0
TPEx,2025-01-02,7,3529,力旺,2336205000.0,744000.0,3060.0,-295.0,702.0
TPEx,2025-01-02,8,5371,中光電,2200432500.0,23973000.0,90.8,-2.8,15796.0
TPEx,2025-01-02,9,8299,群聯,2080587000.0,4008000.0,528.0,-6.0,3059.0
TPEx,2025-01-02,10,5274,信驊,1867700000.0,555000.0,3355.0,30.0,519.0
TPEx,2025-01-02,11,4991,環宇-KY,1786791000.0,13379000.0,129.5,-6.5,7935.0
TPEx,2025-01-02,12,3227,原相,1661444500.0,6591000.0,247.5,-8.5,5091.0
TPEx,2025-01-02,13,3324,雙鴻,1523691000.0,2246000.0,670.0,-2.0,1793.0
TPEx,2025-01-02,14,00937B,群益ESG投等債20+,1408756230.0,89867000.0,15.69,-0.1,11360.0
TPEx,2025-01-02,15,00687B,國泰20年美債,1219115330.0,41332000.0,29.53,-0.25,5469.0
TPEx,2025-01-02,16,6510,精測,1157083000.0,1365000.0,811.0,-71.0,1243.0
TPEx,2025-01-02,17,3689,湧德,1127790500.0,10751000.0,102.5,1.5,6441.0
TPEx,2025-01-02,18,6245,立端,1102638800.0,10850000.0,103.5,9.3,5964.0
TPEx,2025-01-02,19,00679B,元大美債20年,1073684990.0,37844000.0,28.4,-0.25,5656.0
TPEx,2025-01-02,20,3131,弘塑,1051955000.0,741000.0,1390.0,-95.0,661.0
TWSE,2025-01-02,1,2330,台積電,47883206644.0,45045125.0,1065.0,10.0,74997.0
TWSE,2025-01-02,2,2454,聯發科,10011026495.0,7374055.0,1350.0,0.0,26063.0
TWSE,2025-01-02,3,3661,世芯-KY,9499443885.0,2997640.0,3100.0,180.0,18920.0
TWSE,2025-01-02,4,2317,鴻海,7588159603.0,41467354.0,182.5,1.5,48006.0
TWSE,2025-01-02,5,3706,神達,6532086684.0,89900773.0,70.8,0.1,48736.0
TWSE,2025-01-02,6,1597,直得,6436964242.0,51370140.0,124.5,5.0,33034.0
TWSE,2025-01-02,7,2049,上銀,6161137439.0,19570569.0,308.5,20.5,25844.0
TWSE,2025-01-02,8,3450,聯鈞,5218020739.0,18655966.0,274.0,13.0,15327.0
TWSE,2025-01-02,9,6669,緯穎,5016264915.0,1928164.0,2550.0,70.0,5097.0
TWSE,2025-01-02,10,2308,台達電,4783630401.0,11380681.0,417.0,13.5,26479.0
TWSE,2025-01-02,11,2382,廣達,4692119032.0,16591592.0,280.0,7.0,18773.0
